السنة,الشهر,المطار,المعيار,متوسط أوقات الانتظار (بالدقائق)
2026,1,مطار وادي الدواسر,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.4
2026,1,مطار وادي الدواسر,وقت انتظار مساعدة ذوي الإعاقة القادمين,1.3
2026,1,مطار رفحاء,وقت الانتظار عند تسجيل إجراءات السفر,0.5
2026,1,مطار رفحاء,وقت الانتظار عند التفتيش الأمني,0.4
2026,1,مطار رفحاء,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,5.2
2026,1,مطار رفحاء,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.2
2026,1,مطار رفحاء,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.2
2026,1,مطار الدوادمي,وقت الانتظار عند تسجيل إجراءات السفر,1.6
2026,1,مطار الدوادمي,وقت الانتظار عند التفتيش الأمني,0.2
2026,1,مطار الدوادمي,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,5.7
2026,1,مطار الدوادمي,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,1,مطار الدوادمي,وقت انتظار مساعدة ذوي الإعاقة القادمين,1.1
2026,2,مطار الملك عبدالعزيز الدولي بجدة,وقت الانتظار عند تسجيل إجراءات السفر,4.0
2026,2,مطار الملك عبدالعزيز الدولي بجدة,وقت الانتظار عند التفتيش الأمني,1.6
2026,2,مطار الملك عبدالعزيز الدولي بجدة,وقت الانتظار عند معاينة وثائق السفر للمغادرين,1.4
2026,2,مطار الملك عبدالعزيز الدولي بجدة,وقت الانتظار عند معاينة وثائق السفر للقادمين,2.0
2026,2,مطار الملك عبدالعزيز الدولي بجدة,وقت الانتظار عند التفتيش الجمركي,1.1
2026,2,مطار الملك عبدالعزيز الدولي بجدة,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,24.0
2026,2,مطار الملك عبدالعزيز الدولي بجدة,وقت انتظار مساعدة ذوي الإعاقة المغادرين,1.1
2026,2,مطار الملك عبدالعزيز الدولي بجدة,وقت انتظار مساعدة ذوي الإعاقة القادمين,2.5
2026,2,مطار الملك خالد الدولي بالرياض,وقت الانتظار عند تسجيل إجراءات السفر,2.5
2026,2,مطار الملك خالد الدولي بالرياض,وقت الانتظار عند التفتيش الأمني,1.6
2026,2,مطار الملك خالد الدولي بالرياض,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.7
2026,2,مطار الملك خالد الدولي بالرياض,وقت الانتظار عند معاينة وثائق السفر للقادمين,1.4
2026,2,مطار الملك خالد الدولي بالرياض,وقت الانتظار عند التفتيش الجمركي,0.7
2026,2,مطار الملك خالد الدولي بالرياض,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,21.2
2026,2,مطار الملك خالد الدولي بالرياض,وقت انتظار مساعدة ذوي الإعاقة المغادرين,5.8
2026,2,مطار الملك خالد الدولي بالرياض,وقت انتظار مساعدة ذوي الإعاقة القادمين,7.6
2026,2,مطار الملك فهد الدولي بالدمام,وقت الانتظار عند تسجيل إجراءات السفر,1.6
2026,2,مطار الملك فهد الدولي بالدمام,وقت الانتظار عند التفتيش الأمني,0.7
2026,2,مطار الملك فهد الدولي بالدمام,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.5
2026,2,مطار الملك فهد الدولي بالدمام,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.9
2026,2,مطار الملك فهد الدولي بالدمام,وقت الانتظار عند التفتيش الجمركي,0.4
2026,2,مطار الملك فهد الدولي بالدمام,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,11.2
2026,2,مطار الملك فهد الدولي بالدمام,وقت انتظار مساعدة ذوي الإعاقة المغادرين,2.0
2026,2,مطار الملك فهد الدولي بالدمام,وقت انتظار مساعدة ذوي الإعاقة القادمين,2.7
2026,2,مطار الأمير محمد بن عبدالعزيز الدولي بالمدينة,وقت الانتظار عند تسجيل إجراءات السفر,2.8
2026,2,مطار الأمير محمد بن عبدالعزيز الدولي بالمدينة,وقت الانتظار عند التفتيش الأمني,1.3
2026,2,مطار الأمير محمد بن عبدالعزيز الدولي بالمدينة,وقت الانتظار عند معاينة وثائق السفر للمغادرين,1.7
2026,2,مطار الأمير محمد بن عبدالعزيز الدولي بالمدينة,وقت الانتظار عند معاينة وثائق السفر للقادمين,1.9
2026,2,مطار الأمير محمد بن عبدالعزيز الدولي بالمدينة,وقت الانتظار عند التفتيش الجمركي,1.1
2026,2,مطار الأمير محمد بن عبدالعزيز الدولي بالمدينة,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,31.5
2026,2,مطار الأمير محمد بن عبدالعزيز الدولي بالمدينة,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,2,مطار الأمير محمد بن عبدالعزيز الدولي بالمدينة,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.0
2026,2,مطار أبها الدولي,وقت الانتظار عند تسجيل إجراءات السفر,1.6
2026,2,مطار أبها الدولي,وقت الانتظار عند التفتيش الأمني,0.6
2026,2,مطار أبها الدولي,وقت الانتظار عند معاينة وثائق السفر للمغادرين,1.4
2026,2,مطار أبها الدولي,وقت الانتظار عند معاينة وثائق السفر للقادمين,1.3
2026,2,مطار أبها الدولي,وقت الانتظار عند التفتيش الجمركي,1.0
2026,2,مطار أبها الدولي,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,9.0
2026,2,مطار أبها الدولي,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,2,مطار أبها الدولي,وقت انتظار مساعدة ذوي الإعاقة القادمين,2.0
2026,2,مطار الملك عبدالله بن عبدالعزيز الدولي بجيزان,وقت الانتظار عند تسجيل إجراءات السفر,0.9
2026,2,مطار الملك عبدالله بن عبدالعزيز الدولي بجيزان,وقت الانتظار عند التفتيش الأمني,1.4
2026,2,مطار الملك عبدالله بن عبدالعزيز الدولي بجيزان,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.4
2026,2,مطار الملك عبدالله بن عبدالعزيز الدولي بجيزان,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.5
2026,2,مطار الملك عبدالله بن عبدالعزيز الدولي بجيزان,وقت الانتظار عند التفتيش الجمركي,1.3
2026,2,مطار الملك عبدالله بن عبدالعزيز الدولي بجيزان,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,8.5
2026,2,مطار الملك عبدالله بن عبدالعزيز الدولي بجيزان,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.7
2026,2,مطار الملك عبدالله بن عبدالعزيز الدولي بجيزان,وقت انتظار مساعدة ذوي الإعاقة القادمين,2.6
2026,2,مطار الأمير سلطان بن عبدالعزيز الدولي بتبوك,وقت الانتظار عند تسجيل إجراءات السفر,0.3
2026,2,مطار الأمير سلطان بن عبدالعزيز الدولي بتبوك,وقت الانتظار عند التفتيش الأمني,0.2
2026,2,مطار الأمير سلطان بن عبدالعزيز الدولي بتبوك,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.3
2026,2,مطار الأمير سلطان بن عبدالعزيز الدولي بتبوك,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.2
2026,2,مطار الأمير سلطان بن عبدالعزيز الدولي بتبوك,وقت الانتظار عند التفتيش الجمركي,0.3
2026,2,مطار الأمير سلطان بن عبدالعزيز الدولي بتبوك,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,7.7
2026,2,مطار الأمير سلطان بن عبدالعزيز الدولي بتبوك,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.6
2026,2,مطار الأمير سلطان بن عبدالعزيز الدولي بتبوك,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.2
2026,2,مطار الأمير نايف بن عبدالعزيز الدولي بالقصيم,وقت الانتظار عند تسجيل إجراءات السفر,1.2
2026,2,مطار الأمير نايف بن عبدالعزيز الدولي بالقصيم,وقت الانتظار عند التفتيش الأمني,0.7
2026,2,مطار الأمير نايف بن عبدالعزيز الدولي بالقصيم,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.8
2026,2,مطار الأمير نايف بن عبدالعزيز الدولي بالقصيم,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.8
2026,2,مطار الأمير نايف بن عبدالعزيز الدولي بالقصيم,وقت الانتظار عند التفتيش الجمركي,0.7
2026,2,مطار الأمير نايف بن عبدالعزيز الدولي بالقصيم,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,7.8
